"tag_serial_number","sex","length1","weight","release_date_time","release_latitude","release_longitude","recapture_date_time"
"1293314","f",0.71,NA,2018-07-19 08:00:00,51.61525,3.657683333,NA
"1293321","m",0.81,NA,2018-07-19 08:30:00,51.612733,3.6447,NA
"1293315","m",0.82,NA,2018-07-19 08:30:00,51.610683,3.6485,NA
"1293316","m",0.73,NA,2018-07-19 09:00:00,51.610017,3.6496,NA
"1293322","f",0.8,NA,2018-07-19 09:00:00,51.610017,3.6496,2019-09-29
"1293317","f",0.8,NA,2018-07-19 10:00:00,51.616867,3.664883,2018-09-29
"1293318","f",0.79,NA,2018-07-19 12:00:00,51.61195,3.65025,NA
"1293319","f",0.73,NA,2018-07-19 12:00:00,51.611767,3.649833,2018-08-21
"1293320","m",0.81,NA,2018-07-19 12:30:00,51.6169,3.643167,NA
"1293293","m",0.78,NA,2018-07-19 12:30:00,51.61085,3.652567,NA
"1293294","f",0.7,NA,2018-07-19 13:00:00,51.61085,3.652567,NA
"1293295","m",0.78,NA,2018-07-19 13:00:00,51.6125,3.653783,2018-09-27
"1293296","m",0.77,NA,2018-07-19 13:00:00,51.610167,3.651633,NA
"1293297","f",0.88,3.3,2018-08-02 09:30:00,51.428538,3.407481,NA
"1293300","f",0.98,3,2018-08-02 12:10:00,51.42853833,3.407481667,NA
"1293298","f",0.95,3.8,2018-08-02 13:20:00,51.42853833,3.407481667,NA
"1293307","f",0.83,4.2,2018-08-02 14:20:00,51.42853833,3.407481667,NA
"1293308","f",0.99,3.7,2018-08-02 14:31:00,51.42853833,3.407481667,NA
"1293301","f",0.95,3.3,2018-08-02 14:50:00,51.42853833,3.407481667,NA
"1293299","f",0.91,3.5,2018-08-02 15:54:00,51.42853833,3.407481667,NA
"1293309","f",0.92,3.3,2018-08-02 16:00:00,51.42853833,3.407481667,NA
"1293302","f",1.02,4.6,2018-08-03 07:33:00,51.42853833,3.407481667,NA
"1293303","f",0.93,3.2,2019-07-11 09:10:00,51.6168,3.663183,NA
"1293304","f",0.72,1.35,2019-07-11 10:25:00,51.615017,3.657802,NA
"1293305","m",0.72,0.9,2019-07-11 10:35:00,51.615017,3.657802,NA
"1293310","m",0.72,1.4,2019-07-11 12:20:00,51.618217,3.663183,2019-09-03
"1293306","m",0.79,1.7,2019-07-12 08:00:00,51.61041667,3.656016667,NA
"1293312","f",0.91,2.8,2019-07-12 08:15:00,51.61058333,3.65655,2019-08-29
"1293311","m",0.81,1.7,2019-07-12 09:15:00,51.61913333,3.6782,NA
"1293313","f",0.79,1.9,2019-07-12 09:30:00,51.61913333,3.6782,NA
